8.94e-01 & 8.40e-01 & 8.01e-01 & 7.81e-01 & 7.58e-01 & 7.40e-01 & 6.98e-01 & 6.73e-01 & 6.45e-01 & 6.01e-01 & 2.36e-01 \\
8.98e-01 & 8.64e-01 & 8.39e-01 & 8.03e-01 & 7.85e-01 & 7.64e-01 & 7.35e-01 & 6.99e-01 & 6.78e-01 & 6.35e-01 & 3.26e-01 \\
8.99e-01 & 8.76e-01 & 8.63e-01 & 8.31e-01 & 8.07e-01 & 7.82e-01 & 7.61e-01 & 7.33e-01 & 7.08e-01 & 6.61e-01 & 3.62e-01 \\
8.99e-01 & 8.83e-01 & 8.68e-01 & 8.50e-01 & 8.26e-01 & 8.07e-01 & 7.88e-01 & 7.55e-01 & 7.28e-01 & 6.83e-01 & 3.97e-01 \\
8.99e-01 & 8.83e-01 & 8.72e-01 & 8.55e-01 & 8.38e-01 & 8.21e-01 & 7.96e-01 & 7.76e-01 & 7.47e-01 & 6.95e-01 & 4.29e-01 \\
8.99e-01 & 8.83e-01 & 8.69e-01 & 8.58e-01 & 8.43e-01 & 8.27e-01 & 8.06e-01 & 7.79e-01 & 7.48e-01 & 6.99e-01 & 4.34e-01 \\
8.96e-01 & 8.80e-01 & 8.67e-01 & 8.56e-01 & 8.39e-01 & 8.26e-01 & 8.06e-01 & 7.83e-01 & 7.49e-01 & 7.02e-01 & 4.45e-01 \\
8.91e-01 & 8.74e-01 & 8.61e-01 & 8.52e-01 & 8.39e-01 & 8.24e-01 & 7.99e-01 & 7.78e-01 & 7.42e-01 & 6.98e-01 & 4.43e-01 \\
8.81e-01 & 8.62e-01 & 8.50e-01 & 8.43e-01 & 8.27e-01 & 8.09e-01 & 7.85e-01 & 7.62e-01 & 7.29e-01 & 6.90e-01 & 4.35e-01 \\
8.72e-01 & 8.54e-01 & 8.43e-01 & 8.27e-01 & 8.16e-01 & 7.94e-01 & 7.76e-01 & 7.48e-01 & 7.09e-01 & 6.80e-01 & 4.30e-01 \\
8.19e-01 & 8.00e-01 & 7.88e-01 & 7.70e-01 & 7.55e-01 & 7.34e-01 & 7.09e-01 & 6.89e-01 & 6.53e-01 & 6.18e-01 & 4.02e-01 \\
